2025-08-04 22:30:38,946 | INFO | Epoch 14 | Train Precision: 0.9917, Recall: 0.9900, F1: 0.9908, AP: 0.9874
2025-08-04 22:30:38,946 | INFO | Epoch 14 | Train AUC: 0.9895
2025-08-04 22:30:43,390 | INFO | Epoch 14 | Val Acc: 0.7296
2025-08-04 22:30:43,409 | INFO | Epoch 14 | Val Precision: 0.6794, Recall: 0.9990, F1: 0.8088, AP: 0.6793
2025-08-04 22:30:43,409 | INFO | Epoch 14 | Val AUC: 0.6840
2025-08-04 22:31:16,993 | INFO | Epoch 15 | Train Loss: 5.8918, Train Acc: 0.9914
2025-08-04 22:31:17,057 | INFO | Epoch 15 | Train Precision: 0.9927, Recall: 0.9921, F1: 0.9924, AP: 0.9894
2025-08-04 22:31:17,057 | INFO | Epoch 15 | Train AUC: 0.9913
2025-08-04 22:31:22,443 | INFO | Epoch 15 | Val Acc: 0.7572
2025-08-04 22:31:22,467 | INFO | Epoch 15 | Val Precision: 0.7024, Recall: 0.9990, F1: 0.8249, AP: 0.7023
2025-08-04 22:31:22,468 | INFO | Epoch 15 | Val AUC: 0.7162
2025-08-04 22:31:55,289 | INFO | Epoch 16 | Train Loss: 3.5975, Train Acc: 0.9950
2025-08-04 22:31:55,328 | INFO | Epoch 16 | Train Precision: 0.9955, Recall: 0.9957, F1: 0.9956, AP: 0.9937
2025-08-04 22:31:55,329 | INFO | Epoch 16 | Train AUC: 0.9949
2025-08-04 22:31:59,745 | INFO | Epoch 16 | Val Acc: 0.8000
2025-08-04 22:31:59,766 | INFO | Epoch 16 | Val Precision: 0.7428, Recall: 0.9951, F1: 0.8507, AP: 0.7420
2025-08-04 22:31:59,766 | INFO | Epoch 16 | Val AUC: 0.7670
2025-08-04 22:32:32,009 | INFO | Epoch 17 | Train Loss: 5.9981, Train Acc: 0.9915
2025-08-04 22:32:32,049 | INFO | Epoch 17 | Train Precision: 0.9917, Recall: 0.9934, F1: 0.9925, AP: 0.9889
2025-08-04 22:32:32,049 | INFO | Epoch 17 | Train AUC: 0.9912
2025-08-04 22:32:37,020 | INFO | Epoch 17 | Val Acc: 0.8107
2025-08-04 22:32:37,045 | INFO | Epoch 17 | Val Precision: 0.7519, Recall: 0.9990, F1: 0.8580, AP: 0.7517
2025-08-04 22:32:37,045 | INFO | Epoch 17 | Val AUC: 0.7788
2025-08-04 22:33:09,548 | INFO | Epoch 18 | Train Loss: 3.6141, Train Acc: 0.9945
2025-08-04 22:33:09,591 | INFO | Epoch 18 | Train Precision: 0.9953, Recall: 0.9951, F1: 0.9952, AP: 0.9932
2025-08-04 22:33:09,591 | INFO | Epoch 18 | Train AUC: 0.9945
2025-08-04 22:33:13,948 | INFO | Epoch 18 | Val Acc: 0.7566
2025-08-04 22:33:13,967 | INFO | Epoch 18 | Val Precision: 0.7019, Recall: 0.9990, F1: 0.8245, AP: 0.7018
2025-08-04 22:33:13,968 | INFO | Epoch 18 | Val AUC: 0.7156
2025-08-04 22:33:46,393 | INFO | Epoch 19 | Train Loss: 6.7545, Train Acc: 0.9909
2025-08-04 22:33:46,439 | INFO | Epoch 19 | Train Precision: 0.9930, Recall: 0.9910, F1: 0.9920, AP: 0.9892
2025-08-04 22:33:46,439 | INFO | Epoch 19 | Train AUC: 0.9909
2025-08-04 22:33:51,144 | INFO | Epoch 19 | Val Acc: 0.7566
2025-08-04 22:33:51,161 | INFO | Epoch 19 | Val Precision: 0.7019, Recall: 0.9990, F1: 0.8245, AP: 0.7018
2025-08-04 22:33:51,161 | INFO | Epoch 19 | Val AUC: 0.7156
2025-08-04 22:34:23,508 | INFO | Epoch 20 | Train Loss: 3.1692, Train Acc: 0.9960
2025-08-04 22:34:23,545 | INFO | Epoch 20 | Train Precision: 0.9968, Recall: 0.9962, F1: 0.9965, AP: 0.9952
2025-08-04 22:34:23,546 | INFO | Epoch 20 | Train AUC: 0.9960
2025-08-04 22:34:28,411 | INFO | Epoch 20 | Val Acc: 0.7842
2025-08-04 22:34:28,430 | INFO | Epoch 20 | Val Precision: 0.7266, Recall: 0.9990, F1: 0.8413, AP: 0.7264
2025-08-04 22:34:28,430 | INFO | Epoch 20 | Val AUC: 0.7479
2025-08-04 22:35:01,170 | INFO | Epoch 21 | Train Loss: 5.1160, Train Acc: 0.9920
2025-08-04 22:35:01,216 | INFO | Epoch 21 | Train Precision: 0.9928, Recall: 0.9932, F1: 0.9930, AP: 0.9899
2025-08-04 22:35:01,216 | INFO | Epoch 21 | Train AUC: 0.9918
2025-08-04 22:35:06,102 | INFO | Epoch 21 | Val Acc: 0.8924
2025-08-04 22:35:06,121 | INFO | Epoch 21 | Val Precision: 0.8487, Recall: 0.9882, F1: 0.9131, AP: 0.8454
2025-08-04 22:35:06,121 | INFO | Epoch 21 | Val AUC: 0.8762
2025-08-04 22:35:06,665 | INFO | Saved best model top30 to /root/Project/weights/RCNN/SGDF/SGDF_RCNN_top30.pth
2025-08-04 22:35:07,198 | INFO | Saved best model top50 to /root/Project/weights/RCNN/SGDF/SGDF_RCNN_top50.pth
2025-08-04 22:35:40,127 | INFO | Epoch 22 | Train Loss: 3.0919, Train Acc: 0.9956
2025-08-04 22:35:40,166 | INFO | Epoch 22 | Train Precision: 0.9960, Recall: 0.9964, F1: 0.9962, AP: 0.9944
2025-08-04 22:35:40,166 | INFO | Epoch 22 | Train AUC: 0.9955
2025-08-04 22:35:45,121 | INFO | Epoch 22 | Val Acc: 0.7290
2025-08-04 22:35:45,144 | INFO | Epoch 22 | Val Precision: 0.6792, Recall: 0.9980, F1: 0.8083, AP: 0.6790
2025-08-04 22:35:45,145 | INFO | Epoch 22 | Val AUC: 0.6835
2025-08-04 22:36:18,002 | INFO | Epoch 23 | Train Loss: 3.5494, Train Acc: 0.9960
